mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.01795220375061035,0.007099382011089286,0.010153611501057943,0.0038018742467639277,3,8,1.0,"{'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_split': 1.0}",0.6603105127011454,0.6596433752379625,0.6596433752379625,0.6598657543923568,0.0003144916161334893,85
0.02660648028055827,0.0034642545546558173,0.006979465484619141,2.1937964346952854e-06,3,8,2,"{'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_split': 2}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.02709356943766276,0.00734404582313545,0.00797581672668457,2.6973983046972182e-06,3,8,10,"{'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_split': 10}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.025601545969645183,0.0030768849913684455,0.007973035176595053,4.248640189051202e-06,3,8,20,"{'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_split': 20}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.027927319208780926,0.005083345157400213,0.007643461227416992,0.0016977282060230525,3,8,100,"{'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_split': 100}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.016289472579956055,0.00047086484306649637,0.007819414138793945,0.0006289423671640777,3,4000,1.0,"{'max_depth': 3, 'max_leaf_nodes': 4000, 'min_samples_split': 1.0}",0.6603105127011454,0.6596433752379625,0.6596433752379625,0.6598657543923568,0.0003144916161334893,85
0.024264176686604817,0.004483202595860489,0.007823864618937174,0.000844054959782928,3,4000,2,"{'max_depth': 3, 'max_leaf_nodes': 4000, 'min_samples_split': 2}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.020938316980997723,0.0035483624111872594,0.007485151290893555,0.0010820019504315843,3,4000,10,"{'max_depth': 3, 'max_leaf_nodes': 4000, 'min_samples_split': 10}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.019618670145670574,0.001179381538265028,0.007646878560384114,0.00047041511580713945,3,4000,20,"{'max_depth': 3, 'max_leaf_nodes': 4000, 'min_samples_split': 20}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.020447651545206707,0.0014654559451085368,0.007314999898274739,0.0012445603343736239,3,4000,100,"{'max_depth': 3, 'max_leaf_nodes': 4000, 'min_samples_split': 100}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.013963143030802408,0.0008167310297061159,0.006982088088989258,0.0014105708099171196,3,600,1.0,"{'max_depth': 3, 'max_leaf_nodes': 600, 'min_samples_split': 1.0}",0.6603105127011454,0.6596433752379625,0.6596433752379625,0.6598657543923568,0.0003144916161334893,85
0.019948641459147137,0.003262148657387521,0.00814676284790039,0.00024399257743261833,3,600,2,"{'max_depth': 3, 'max_leaf_nodes': 600, 'min_samples_split': 2}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.017279545466105144,0.0032961131712614606,0.007647911707560222,0.0004691226833847835,3,600,10,"{'max_depth': 3, 'max_leaf_nodes': 600, 'min_samples_split': 10}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.018616120020548504,0.002862457606659133,0.0076554616292317705,0.0008470658882977454,3,600,20,"{'max_depth': 3, 'max_leaf_nodes': 600, 'min_samples_split': 20}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.019612709681193035,0.0016965421626200638,0.007159789403279622,0.0002502997937060884,3,600,100,"{'max_depth': 3, 'max_leaf_nodes': 600, 'min_samples_split': 100}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.014290173848470053,0.0017018262433096485,0.006316343943277995,0.00047007786046845593,3,1200,1.0,"{'max_depth': 3, 'max_leaf_nodes': 1200, 'min_samples_split': 1.0}",0.6603105127011454,0.6596433752379625,0.6596433752379625,0.6598657543923568,0.0003144916161334893,85
0.021268844604492188,0.003284516459247651,0.005327939987182617,0.0004647640239959109,3,1200,2,"{'max_depth': 3, 'max_leaf_nodes': 1200, 'min_samples_split': 2}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.019280115763346355,0.0012421300346908,0.00664671262105306,0.00046856254531904914,3,1200,10,"{'max_depth': 3, 'max_leaf_nodes': 1200, 'min_samples_split': 10}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.016286532084147137,0.002049104114225636,0.007314840952555339,0.0018794685880938133,3,1200,20,"{'max_depth': 3, 'max_leaf_nodes': 1200, 'min_samples_split': 20}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
0.021607001622517902,0.0012446014093913402,0.0063170591990153,0.0004702465989589376,3,1200,100,"{'max_depth': 3, 'max_leaf_nodes': 1200, 'min_samples_split': 100}",0.6697040171991087,0.6608092655367216,0.6596433752379625,0.6633855526579309,0.004493111072577339,53
