Id,Comment
1667,logwrapp switch root usergroup log fork childnnnedoffbi mike lockwood 
1673,android freerunn supportn 
1677,android freerunn supportn 
1678,android freerunn supportn 
1680,android freerunn supportn 
1683,android freerunn supportn 
1684,android freerunn supportn 
1692,chang perform ial build step ad applyfreebsdpatch applyplatformpatch defionnin defionsmk process path interpret file headersnfrom binbash usrlocalbinbash allow keep sourc treenunchang share main repositari updat shell variablento proper valu system ad tune variabl ad new hosto type freebsd relat findjdktoolsjar guess path toolsjar remov interpret header shell script call directli innord make portabl independ shell pathn 
1694,modifi includ direct endianh correct chang error exist freebsdn 
1696,creat cdmaimport branch masternnthi temporari develop branch track ialnrevis cdma support within android platformnnnedoffbi shawn pearc 
1704,updat errorshendianh work freebsd new macrondefion havesysendianh havenoenodata havetimedoutnse updat executablepath awar buffer overflow innexecutablepathlinuxcpp ad function freebsdn 
1716,instal apnsconfsdkxml apnsconfxml specifiednnthi make data work gener emul buildsn 
1723,fix bug constructor intentfilterstr action string datatyp ignor action parameternthi chang ensur correctli ad set actionsn 
1729,msm add snddriver devic list halibutnnnedoffbi iliyan malchev 
1730,updat libaudio new snddriver ioctlsnnnedoffbi iliyan malchev 
1742,chang perform ial build step ad applyfreebsdpatch applyplatformpatch defionnin defionsmk process path interpret file headersnfrom binbash usrlocalbinbash allow keep sourc treenunchang share main repositari updat shell variablento proper valu system ad tune variabl ad new hosto type freebsd relat findjdktoolsjar guess path toolsjar freebsdn 
1744,cosmet chang remov empti linen 
1745,updat errorshendianh work freebsd new macrondefion havesysendianh havenoenodata havetimedoutnse updat executablepath awar buffer overflow innexecutablepathlinuxcpp ad function updat aapt makefil perform linkag pthread updat util makefil use due usag exist usedn 
1746,ad macro defion enclos includ preprocessor directivesn 
1747,merg branch 
1748,merg branch iliyan malchev 
1749,msm add snddriver devic list troutnnnedoffbi iliyan malchev 
1750,ad new document opencor modifi readmento includ refer documentsn 
1762,msm mmc increas default max clock speed san mehat 
1774,updat msmaudioh latest snddriver apinnnedoffbi iliyan malchev 
1776,add camerainterfac librari dreamnnnedoffbi iliyan malchev 
1783,ad libaudioso librpcso list file extract phone possibl suppos build build seem broken nownnwith lib place make complet successfullyn 
1786,remov hardcod branch constantnnrepo later use thi attribut anymorenand instead base decis upstream branchnnam manifest wa clone fromnnnedoffbi shawn pearc 
1789,merg branch cdmaimportnn mastern remov nowdefunct entri manifestn remov hardcod branch constantnnconflictsntdefaultxmln 
1815,add process kernel header msmsnd drivernnnedoffbi iliyan malchev 
1822,move prefetchloop flag boardspecif filennfprefetchlooparray support everi arm target sonmov flag close place arm target selectionni specifiedn 
1838,android freerunn supportn 
1839,android freerunn supportn 
1840,android freerunn supportn 
1843,android freerunn supportn 
1844,android freerunn supportn 
1845,fix issu incorrect organ type label organ defion stringarray resourc differ fromnandroidprovidercontactsorganizationcolumnsn 
1847,fix issu incorrect organ type label patch work differ project need commit twicen 
1848,fix issu contact ad new organ entri erasesnposit field text textview save beforen 
1853,fix null derefer crash statusbar servicennfor emul devic without bluetooth support bluetooth serviceni null statusbar crash upon attempt derefer thi null servicenso simpli check null first thi fix issu 
1856,add eng tag sdksetup app eng build get provisionednnth sdksetup app current instal eng build never getnprovis thing like screen lockinghom buttonvari thing work thi add eng build fix problem issu 
1860,updat use conform expr freebsd systemn 
1861,ad androidconfigh freebsdn 
1886,msm add driver snd interfacennthi driver provid devmsmsnd allow privileg code set thenoutput sound devic volum level muteunmut statu neednaddit board support actual enabl thi drivernnnedoffbi iliyan malchev 
1889,add process kernel header msmsnd drivernnnedoffbi iliyan malchev 
1927,msm mmc move resum work workqueu reduc criticalresum latencynnnedoffbi san mehat 
1928,msm mmc remov san mehat 
1929,msm mmc add support pio irq rework complet pathsnn rework complet path poll requir dma handlern enabl pio irq remov poll supportnnnedoffbi san mehat 
1941,fix makefilennnedoffbi iliyan malchev 
1953,remov nowdefunct entri manifestnnsinc repo repo prefer download git turnsnout much faster transport tarbal http element longer recogn keyword repo wenmay well remov primari manifestnnnedoffbi shawn pearc 
1955,merg branch mastern remov nowdefunct entri manifestn remov hardcod branch constantnnconflictsntdefaultxmln 
1974,prebuilt kernel wifi driver dreamnnkernelnrepositori gitandroidgitkernelorgkernelmsmgitnbranch gitandroidgitkernelorgplatformsystemwlantigitnbranch iliyan malchev 
1981,remov comment includ ad configcompatfreebsdh updat makefil includ itn compilationn 
1982,updat errorshendianh work freebsd new macrondefion havesysendianh see updat executablepath awar buffer overflow innexecutablepathlinuxcpp ad function updat aapt makefil perform linkag pthread updat util makefil use due usag exist use freebsdn 
1983,ad macro defion remov unnecessari includ 
1986,ad configur freebsd ad flag avoid error duringn compil incompat type ad includ thi allow correct defion ofn namespac make like type visibl chang makefileandroid order build oss freebsdn without prebuilt version qemuaudio absentn 
1988,merg commit freebsdportn 
1989,merg commit freebsdportn 
1991,chang binbash binsh caus extend featur bash usednthi allow script execut freebsd correcti makefil dure buildingnprocessn 
1992,remov libdl ldflag build freebsdn 
1993,remov libdl librari link build freebsdn 
1994,updat declar lofft type build freebsdn 
1995,ad pthread librari build freebsdn 
1998,updat readm filen 
2417,ad note purpos first line commentingn 
2418,remov ldl compil freesbdn 
2419,ad configur freebsd ad cast skinargbh avoid error duringn compil incompat type ad includ thi allow correct defion ofn namespac make like type visibl chang makefileandroid order build oss freebsdn without prebuilt version qemuaudio absentn 
2420,updat makefil correct build freebsdn 
2421,ad file adb compil updat makefilenusbfreebsdc stub fullwork modulen 
2422,enhanc apidemo app dialog alertdialog multiplechoic back cursornnad exampl use alertdialog multichoic mode back cursor thi exampl use test follow bug toast display readonli statu cursor data updatedntremov empti code block nothingn 
2429,remov link libdl freebsd caus need function libcn 
2430,chang main class name manifest file correct onen 
2435,add thai font qwerti handler thai also languag picker dialogn 
2439,extend android cdma mobil technolog supportnnthi first contribut project ha goal extend thenandroid telephoni layer cdma mobil technolog supportnth current releas android support gsmwcdma mobil commun standardsnour contribut contain chang phone relat applic thenappl framework telephoni packag ril daemon librari spacenth implement cdma support requir architectur chang thentelephoni packag extens ril interfacenth applic interfac sdk interfac extend providencdma specif featuresinform phone relat applic applicationsnwher ever possibl actual use radio technolog transpar thenappl use mobil connectionsnneach increment contribut provid pretest set use case implementationsnth final contribut support cdma function android phone supportingneith cdma mobil technolog onli world mode includ gsmwcdma cdmanth follow cdma technolog consid evdonnthi contribut implement follow use casesnuc startupphonenuc initi phonenuc access simruimnuc network indicationsnnwith use case phone willn start upn access cdma subscript inform memori card either sim usim ruimn regist networkn provid registr statu applic displayingnnapprov aravind mahishi aravindmahishitelecacomn wolfgang schmidt wolfgangschmidttelecacomn 
2601,creat qwerti kcm file thai keyboard also modifi androidmk build filen 
2602,creat kcm file thai qwerti keyboardn 
2622,androidparanoidnetwork use inegroupp check export sysc caus problem modulenbuild inegroupp export 
2629,fix lock screen bypass issu report 
2630,origin commit jessevgmailcomnn switch use charset list java javaniocharsetn charset classnn profil messag load perform discov signific amount time wa spent instanti charsetn convert routin emul layer java compat switch java built charset code result inn signific perform boost messag loadingnnbas follow comment thi seem like winnn util class work charact set somewhat similar ton java class know manyn alias compat java use simpl detectionn mechan detect charact set current VM support thi willn subset charact set list java support documentn iana charact document ha use determin preferredn mime charact set name get list known aliasesn 
2631,edit font saraam issuen 
2806,chang scriptsbuildtemplatennthi chang make sure srcdir point onli java sourc folder recurs compil sourc folder current folder thi use multipl java sourc folder main test etc onli compil target affect thi changennnot projecttest work test separ android project onli test ani case point sourc explicitli make sure side affect aris recurs compilingn 
2815,modifi readwrit cach mtd writes supportnnnedoffbi ravi kumar 
2845,userspac rpc librarynnnedoffbi iliyan malchev 
2859,enabl wifi supportnnnedoffbi iliyan malchev 
2860,add proprietari camera librari extract scriptnnnedoffbi iliyan malchev 
2862,improv thai charact detect speedn 
2866,use rfkill kernel api power updown bluetoothn 
