mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.009641091028849283,0.000469797234388504,0.007312933603922526,0.0004702465989589376,3,8,1.0,"{'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_split': 1.0}",0.8270182342909616,0.8262208444050781,0.6555059471272084,0.769581675274416,0.08066437781282076,59
0.017288049062093098,0.0012438581956086697,0.006979783376057942,1.6783644423439406e-06,3,8,2,"{'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_split': 2}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.015954256057739258,0.0016283977549499122,0.0069819291432698565,0.0014106833895495797,3,8,10,"{'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_split': 10}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.021275679270426433,0.0032903523463347706,0.005651950836181641,0.0004691799392694648,3,8,20,"{'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_split': 20}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.015625874201456707,0.00047030264365569767,0.006314992904663086,0.0009412234662401243,3,8,100,"{'max_depth': 3, 'max_leaf_nodes': 8, 'min_samples_split': 100}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.008974631627400717,0.0008146858864441917,0.005983750025431315,0.00081546418601943,3,4000,1.0,"{'max_depth': 3, 'max_leaf_nodes': 4000, 'min_samples_split': 1.0}",0.8270182342909616,0.8262208444050781,0.6555059471272084,0.769581675274416,0.08066437781282076,59
0.0139617919921875,8.920806376395086e-07,0.008975903193155924,0.004231262612623201,3,4000,2,"{'max_depth': 3, 'max_leaf_nodes': 4000, 'min_samples_split': 2}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.015291770299275717,0.0004711462140166774,0.006316264470418294,0.0012440490516086597,3,4000,10,"{'max_depth': 3, 'max_leaf_nodes': 4000, 'min_samples_split': 10}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.017618735631306965,0.0032916287965117203,0.006316741307576497,0.00047080839576569357,3,4000,20,"{'max_depth': 3, 'max_leaf_nodes': 4000, 'min_samples_split': 20}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.01629026730855306,0.0012433480870914157,0.005983591079711914,1.9466795466607238e-07,3,4000,100,"{'max_depth': 3, 'max_leaf_nodes': 4000, 'min_samples_split': 100}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.007978121439615885,5.947204250930057e-07,0.00664973258972168,0.0009405491166964253,3,600,1.0,"{'max_depth': 3, 'max_leaf_nodes': 600, 'min_samples_split': 1.0}",0.8270182342909616,0.8262208444050781,0.6555059471272084,0.769581675274416,0.08066437781282076,59
0.016954739888509113,0.0035490993012888784,0.005651076634724935,0.00047024643778554833,3,600,2,"{'max_depth': 3, 'max_leaf_nodes': 600, 'min_samples_split': 2}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.014293670654296875,0.0009397061545624374,0.005984703699747722,6.25769923052137e-07,3,600,10,"{'max_depth': 3, 'max_leaf_nodes': 600, 'min_samples_split': 10}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.01495973269144694,7.867411722033552e-07,0.006316820780436198,0.0004707524515305133,3,600,20,"{'max_depth': 3, 'max_leaf_nodes': 600, 'min_samples_split': 20}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.014960289001464844,0.000813809401943657,0.006981293360392253,0.001410121189811748,3,600,100,"{'max_depth': 3, 'max_leaf_nodes': 600, 'min_samples_split': 100}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.009308815002441406,0.0004698538838222819,0.005651394526163737,0.00046929136156535084,3,1200,1.0,"{'max_depth': 3, 'max_leaf_nodes': 1200, 'min_samples_split': 1.0}",0.8270182342909616,0.8262208444050781,0.6555059471272084,0.769581675274416,0.08066437781282076,59
0.01462848981221517,0.0009404928755710967,0.005650679270426433,0.0012434117554306842,3,1200,2,"{'max_depth': 3, 'max_leaf_nodes': 1200, 'min_samples_split': 2}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.013962348302205404,0.0008139069124594181,0.006648937861124675,0.00047080843601095187,3,1200,10,"{'max_depth': 3, 'max_leaf_nodes': 1200, 'min_samples_split': 10}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.013629833857218424,0.002049769596108181,0.006316820780436198,0.0004697406856876018,3,1200,20,"{'max_depth': 3, 'max_leaf_nodes': 1200, 'min_samples_split': 20}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
0.013962507247924805,0.0,0.005983908971150716,2.247831920581015e-07,3,1200,100,"{'max_depth': 3, 'max_leaf_nodes': 1200, 'min_samples_split': 100}",0.8270182342909616,0.8262208444050781,0.6790269925335095,0.777422023743183,0.06957655535557938,33
