mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_leaf_nodes,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5222699642181396,0.0178844279744943,0.04971162478129069,0.0008561213875790709,True,10,8,"{'bootstrap': True, 'max_depth': 10, 'max_leaf_nodes': 8}",0.8270182342909616,0.8262208444050781,0.8256832821682872,0.8263074536214422,0.0005484220757333875,15
0.9644428094228109,0.03980157613712436,0.06482998530069987,0.004958338067904466,True,10,4000,"{'bootstrap': True, 'max_depth': 10, 'max_leaf_nodes': 4000}",0.8259101654846335,0.8283365458357115,0.693751433483073,0.782666048267806,0.0628799298777181,48
0.9258796374003092,0.03367574455683788,0.06615742047627766,0.004098688316490756,True,10,600,"{'bootstrap': True, 'max_depth': 10, 'max_leaf_nodes': 600}",0.8288468819202182,0.8335586135107399,0.7025448311620368,0.7883167755309982,0.06068041932545428,23
0.8974624474843343,0.00716986588322664,0.06200456619262695,0.0015448537964815284,True,10,1200,"{'bootstrap': True, 'max_depth': 10, 'max_leaf_nodes': 1200}",0.8288468819202182,0.8319658729701728,0.6879964398898342,0.782936398260075,0.0671447630015413,46
0.9297163486480713,0.009647078129150466,0.06615678469340007,0.0020490218893778125,True,10,,"{'bootstrap': True, 'max_depth': 10, 'max_leaf_nodes': None}",0.8280863539870666,0.8299484092550944,0.7051689683380905,0.7877345771934171,0.058387650730232304,26
0.5344233512878418,0.024444682112574643,0.04953432083129883,0.0009405491166964253,True,2000,8,"{'bootstrap': True, 'max_depth': 2000, 'max_leaf_nodes': 8}",0.8270182342909616,0.8262208444050781,0.8162524616789236,0.8231638467916543,0.004897917298191491,18
1.0614938735961914,0.024730851946438707,0.0654916763305664,0.0026180295997118323,True,2000,4000,"{'bootstrap': True, 'max_depth': 2000, 'max_leaf_nodes': 4000}",0.8305767223706834,0.8305015939833394,0.68846353784906,0.7831806180676942,0.06697509673963921,45
1.0934088230133057,0.0057769986967572,0.07280540466308594,0.007767889278209521,True,2000,600,"{'bootstrap': True, 'max_depth': 2000, 'max_leaf_nodes': 600}",0.8308735571538699,0.8307604938271607,0.6995917247162603,0.7870752585657637,0.06186021724785032,28
1.0349056720733643,0.024253388822840786,0.07280564308166504,0.004309254395296297,True,2000,1200,"{'bootstrap': True, 'max_depth': 2000, 'max_leaf_nodes': 1200}",0.8280863539870666,0.8307604938271607,0.6926393500105211,0.7838287326082495,0.0644898719691046,43
1.058855136235555,0.02938647546353678,0.06615662574768066,0.0033906835843533116,True,2000,,"{'bootstrap': True, 'max_depth': 2000, 'max_leaf_nodes': None}",0.8285596408641781,0.8332525242827198,0.6801809728267109,0.7806643793245361,0.07107832311260782,50
0.528274138768514,0.020363431289015296,0.05253005027770996,0.0036754987834232335,True,400,8,"{'bootstrap': True, 'max_depth': 400, 'max_leaf_nodes': 8}",0.8270182342909616,0.8262208444050781,0.819599365902868,0.8242794815329691,0.0033253139591990226,17
1.0907560189565022,0.022756184579453335,0.06948105494181316,0.0030831065981837148,True,400,4000,"{'bootstrap': True, 'max_depth': 400, 'max_leaf_nodes': 4000}",0.8253551481700506,0.8320290858604671,0.6868814000196717,0.7814218780167298,0.06690571398621627,49
1.1728639602661133,0.026399799583645463,0.07479977607727051,0.007767409736574849,True,400,600,"{'bootstrap': True, 'max_depth': 400, 'max_leaf_nodes': 600}",0.8292855154370048,0.8310617665312571,0.6942729928117918,0.7848734249266845,0.06406828384123421,41
1.149769385655721,0.07087078019940411,0.07546536127726237,0.006582213824319994,True,400,1200,"{'bootstrap': True, 'max_depth': 400, 'max_leaf_nodes': 1200}",0.8278042893293486,0.8345397598385049,0.7079858253284911,0.7901099581654482,0.058135597450624354,20
1.1454694271087646,0.05510356866074238,0.07014624277750652,0.006112218110707278,True,400,,"{'bootstrap': True, 'max_depth': 400, 'max_leaf_nodes': None}",0.827522108396813,0.8300763818881048,0.6905995778228986,0.7827326893692721,0.06515629292032843,47
0.5041848023732504,0.025596603704049165,0.061834255854288735,0.005339948669582277,True,2,8,"{'bootstrap': True, 'max_depth': 2, 'max_leaf_nodes': 8}",0.8270182342909616,0.8262208444050781,0.8269242576518357,0.8267211121159584,0.00035581712445902417,8
0.4991757869720459,0.014169722540049194,0.05053194363911947,0.00047024647807890086,True,2,4000,"{'bootstrap': True, 'max_depth': 2, 'max_leaf_nodes': 4000}",0.8270182342909616,0.8262208444050781,0.8281790139461517,0.8271393642140638,0.0008039947477440777,7
0.4644247690836589,0.018611081274181263,0.05019895235697428,0.0016953106134787053,True,2,600,"{'bootstrap': True, 'max_depth': 2, 'max_leaf_nodes': 600}",0.8270182342909616,0.8262208444050781,0.8269242576518357,0.8267211121159584,0.00035581712445902417,8
0.457142432530721,0.02419107399405575,0.049201409022013344,0.0004702468004255965,True,2,1200,"{'bootstrap': True, 'max_depth': 2, 'max_leaf_nodes': 1200}",0.8270182342909616,0.8262208444050781,0.8269242576518357,0.8267211121159584,0.00035581712445902417,8
0.473446528116862,0.027462541664275603,0.049201647440592446,0.0012437728111975993,True,2,,"{'bootstrap': True, 'max_depth': 2, 'max_leaf_nodes': None}",0.8270182342909616,0.8262208444050781,0.8269242576518357,0.8267211121159584,0.00035581712445902417,8
0.522981325785319,0.014345727675809295,0.05219348271687826,0.004701340465925492,True,,8,"{'bootstrap': True, 'max_depth': None, 'max_leaf_nodes': 8}",0.8270182342909616,0.8262208444050781,0.8312239492221446,0.8281543426393947,0.002194815267423527,6
